¹	poin	H_g_p	L_1_l	H_1_l	L_2_l	H_2_l	L_v_ok	Y_v_ok	L_vn_ok	H_vn_ok	H_t	H_p
1	Ã	4.5	8.4	1	7.6	0.6	1.9	0.7	2	1	1.2	1
2	Ã	4.2	7.4	0.9	7	0.6	2.4	0.8	2.3	1.1	1.3	1.2
3	Ã	5.8	10.2	1.1	9.3	0.7	2.9	0.8	2.9	1.1	1.9	1.3
4	Ã	4.7	8.5	1.1	7.6	0.9	2.2	0.7	2.3	1.1	1.6	1.4
5	Ã	4.3	7.7	1.2	7.9	0.7	2.5	0.8	2.4	1.2	1.3	1.2
6	Ã	6	8.5	1	8	0.6	2.3	0.7	2.7	1	1.6	1.4
7	Ã	2.7	8.5	0.9	7	0.7	2.3	0.6	2.4	1	1.8	1.2
8	Ã	4.1	7	0.6	5.8	0.5	2	0.5	2.1	0.7	1.3	0.8
9	Ã	6.1	8.5	0.8	8	0.6	2.1	0.6	2.2	0.9	1.3	0.9
10	Ã	6.8	11	1.1	10	0.7	2.7	0.9	2.8	1.6	1.7	1.6
11	Ã	4.6	8.5	1	8.2	0.6	2.1	0.7	1.9	1	1.1	0.6
12	Ã	4	8.5	0.6	7.1	0.4	1.9	0.5	2	0.8	1.3	1
13	Ã	4.3	7.8	0.9	7.6	0.7	1.8	0.6	1.9	0.8	1.4	1.2
14	Ã	5	8.4	0.7	8.3	0.5	2.4	0.7	2.2	0.9	1.3	0.7
15	Ã	5.3	10.3	1.1	8.7	0.7	1.9	0.6	2	0.7	1.2	0.8
16	È	12.5	14.2	1.7	11.7	0.9	2.5	0.5			1.6	
17	È	14.8	12.5	1.1	12	0.7	2.7	0.4			1.4	
18	È	13.8	12.3	1	12	0.8	2.3	0.4			1.6	
19	È	7.5	11.3	1	10.8	0.7	1.8	0.3			1.1	
20	È	9	12.5	1.6	11.6	0.9	2.3	0.5			1.8	
21	È	6.4	14.2	1.7	12.7	0.8	1.9	0.4			1.9	
22	È	8.5	14.7	1.7	11.4	0.9	2.3	0.6			1.6	
